"ID_plot"	"ID_pine"	"N_pine"	"Year"	"a"	"b"	"Mean_growth"	"SD_growth"
1	"101"	1	2000	0	0	0	0
1	"101"	1	2001	0	0	0	0
1	"101"	1	2002	0	0	0	0
1	"101"	1	2003	18	19	18.5	0.707106781
1	"101"	1	2004	24	18	21	4.242640687
1	"101"	1	2005	22	16	19	4.242640687
1	"101"	1	2006	41	28	34.5	9.192388155
1	"101"	1	2007	58	41	49.5	12.02081528
1	"101"	1	2008	100	66	83	24.04163056
1	"101"	1	2009	114	105	109.5	6.363961031
1	"101"	1	2010	71	42	56.5	20.50609665
1	"101"	1	2011	170	145	157.5	17.67766953
1	"101"	1	2012	207	130	168.5	54.44722215
1	"101"	1	2013	144	135	139.5	6.363961031
1	"101"	1	2014	215	194	204.5	14.8492424
1	"101"	1	2015	218	228	223	7.071067812
1	"101"	1	2016	249	259	254	7.071067812
1	"102"	2	2000	0	0	0	0
1	"102"	2	2001	0	0	0	0
1	"102"	2	2002	20	21	20.5	0.707106781
1	"102"	2	2003	41	21	31	14.14213562
1	"102"	2	2004	48	45	46.5	2.121320344
1	"102"	2	2005	32	17	24.5	10.60660172
1	"102"	2	2006	74	41	57.5	23.33452378
1	"102"	2	2007	94	70	82	16.97056275
1	"102"	2	2008	96	80	88	11.3137085
1	"102"	2	2009	136	133	134.5	2.121320344
1	"102"	2	2010	146	102	124	31.11269837
1	"102"	2	2011	183	195	189	8.485281374
1	"102"	2	2012	177	191	184	9.899494937
1	"102"	2	2013	54	83	68.5	20.50609665
1	"102"	2	2014	175	227	201	36.76955262
1	"102"	2	2015	326	321	323.5	3.535533906
1	"102"	2	2016	303	361	332	41.01219331
1	"104"	4	2000	0	0	0	0
1	"104"	4	2001	33	11	22	15.55634919
1	"104"	4	2002	30	21	25.5	6.363961031
1	"104"	4	2003	18	26	22	5.656854249
1	"104"	4	2004	57	77	67	14.14213562
1	"104"	4	2005	13	17	15	2.828427125
1	"104"	4	2006	38	37	37.5	0.707106781
1	"104"	4	2007	76	59	67.5	12.02081528
1	"104"	4	2008	85	78	81.5	4.949747468
1	"104"	4	2009	144	103	123.5	28.99137803
1	"104"	4	2010	62	46	54	11.3137085
1	"104"	4	2011	156	89	122.5	47.37615434
1	"104"	4	2012	215	159	187	39.59797975
1	"104"	4	2013	205	129	167	53.74011537
1	"104"	4	2014	247	180	213.5	47.37615434
1	"104"	4	2015	313	250	281.5	44.54772721
1	"104"	4	2016	312	356	334	31.11269837
1	"105"	5	2000	0	0	0	0
1	"105"	5	2001	20	24	22	2.828427125
1	"105"	5	2002	43	35	39	5.656854249
1	"105"	5	2003	41	59	50	12.72792206
1	"105"	5	2004	78	94	86	11.3137085
1	"105"	5	2005	32	34	33	1.414213562
1	"105"	5	2006	93	81	87	8.485281374
1	"105"	5	2007	143	126	134.5	12.02081528
1	"105"	5	2008	210	154	182	39.59797975
1	"105"	5	2009	155	117	136	26.87005769
1	"105"	5	2010	122	67	94.5	38.89087297
1	"105"	5	2011	308	270	289	26.87005769
1	"105"	5	2012	362	276	319	60.81118318
1	"105"	5	2013	361	179	270	128.6934342
1	"105"	5	2014	367	305	336	43.84062043
1	"105"	5	2015	423	392	407.5	21.92031022
1	"105"	5	2016	441	398	419.5	30.40559159
1	"106"	6	2000	0	0	0	0
1	"106"	6	2001	27	24	25.5	2.121320344
1	"106"	6	2002	27	32	29.5	3.535533906
1	"106"	6	2003	72	70	71	1.414213562
1	"106"	6	2004	117	108	112.5	6.363961031
1	"106"	6	2005	71	51	61	14.14213562
1	"106"	6	2006	101	107	104	4.242640687
1	"106"	6	2007	103	83	93	14.14213562
1	"106"	6	2008	112	82	97	21.21320344
1	"106"	6	2009	191	117	154	52.32590181
1	"106"	6	2010	44	32	38	8.485281374
1	"106"	6	2011	163	91	127	50.91168825
1	"106"	6	2012	199	83	141	82.02438662
1	"106"	6	2013	302	138	220	115.9655121
1	"106"	6	2014	461	177	319	200.8183259
1	"106"	6	2015	364	189	276.5	123.7436867
1	"106"	6	2016	402	241	321.5	113.8441918
1	"107"	7	2000	0	0	0	0
1	"107"	7	2001	0	0	0	0
1	"107"	7	2002	0	0	0	0
1	"107"	7	2003	42	51	46.5	6.363961031
1	"107"	7	2004	54	37	45.5	12.02081528
1	"107"	7	2005	101	75	88	18.38477631
1	"107"	7	2006	184	172	178	8.485281374
1	"107"	7	2007	129	105	117	16.97056275
1	"107"	7	2008	204	153	178.5	36.06244584
1	"107"	7	2009	47	66	56.5	13.43502884
1	"107"	7	2010	93	91	92	1.414213562
1	"107"	7	2011	46	79	62.5	23.33452378
1	"107"	7	2012	85	103	94	12.72792206
1	"107"	7	2013	177	147	162	21.21320344
1	"107"	7	2014	383	272	327.5	78.48885271
1	"107"	7	2015	351	318	334.5	23.33452378
1	"107"	7	2016	484	464	474	14.14213562
1	"108"	8	2000	0	0	0	0
1	"108"	8	2001	0	0	0	0
1	"108"	8	2002	27	28	27.5	0.707106781
1	"108"	8	2003	43	54	48.5	7.778174593
1	"108"	8	2004	95	100	97.5	3.535533906
1	"108"	8	2005	60	38	49	15.55634919
1	"108"	8	2006	61	69	65	5.656854249
1	"108"	8	2007	55	61	58	4.242640687
1	"108"	8	2008	94	146	120	36.76955262
1	"108"	8	2009	106	206	156	70.71067812
1	"108"	8	2010	138	275	206.5	96.87362902
1	"108"	8	2011	103	168	135.5	45.96194078
1	"108"	8	2012	86	177	131.5	64.34671709
1	"108"	8	2013	126	272	199	103.2375901
1	"108"	8	2014	192	490	341	210.7178208
1	"108"	8	2015	188	348	268	113.137085
1	"108"	8	2016	182	314	248	93.33809512
1	"109"	9	2000	0	0	0	0
1	"109"	9	2001	0	0	0	0
1	"109"	9	2002	0	0	0	0
1	"109"	9	2003	0	0	0	0
1	"109"	9	2004	50	45	47.5	3.535533906
1	"109"	9	2005	63	58	60.5	3.535533906
1	"109"	9	2006	40	36	38	2.828427125
1	"109"	9	2007	66	70	68	2.828427125
1	"109"	9	2008	80	51	65.5	20.50609665
1	"109"	9	2009	123	74	98.5	34.64823228
1	"109"	9	2010	211	128	169.5	58.68986284
1	"109"	9	2011	130	115	122.5	10.60660172
1	"109"	9	2012	74	67	70.5	4.949747468
1	"109"	9	2013	257	172	214.5	60.1040764
1	"109"	9	2014	480	357	418.5	86.97413409
1	"109"	9	2015	390	435	412.5	31.81980515
1	"109"	9	2016	540	536	538	2.828427125
1	"110"	10	2000	0	0	0	0
1	"110"	10	2001	21	19	20	1.414213562
1	"110"	10	2002	39	33	36	4.242640687
1	"110"	10	2003	47	45	46	1.414213562
1	"110"	10	2004	103	86	94.5	12.02081528
1	"110"	10	2005	47	43	45	2.828427125
1	"110"	10	2006	76	85	80.5	6.363961031
1	"110"	10	2007	33	41	37	5.656854249
1	"110"	10	2008	84	92	88	5.656854249
1	"110"	10	2009	147	113	130	24.04163056
1	"110"	10	2010	67	44	55.5	16.26345597
1	"110"	10	2011	139	139	139	0
1	"110"	10	2012	147	204	175.5	40.30508653
1	"110"	10	2013	39	101	70	43.84062043
1	"110"	10	2014	275	379	327	73.53910524
1	"110"	10	2015	419	442	430.5	16.26345597
1	"110"	10	2016	361	353	357	5.656854249
1	"111"	11	2000	0	0	0	0
1	"111"	11	2001	0	0	0	0
1	"111"	11	2002	25	29	27	2.828427125
1	"111"	11	2003	35	36	35.5	0.707106781
1	"111"	11	2004	39	44	41.5	3.535533906
1	"111"	11	2005	40	45	42.5	3.535533906
1	"111"	11	2006	63	72	67.5	6.363961031
1	"111"	11	2007	64	30	47	24.04163056
1	"111"	11	2008	44	38	41	4.242640687
1	"111"	11	2009	39	53	46	9.899494937
1	"111"	11	2010	15	23	19	5.656854249
1	"111"	11	2011	65	81	73	11.3137085
1	"111"	11	2012	102	121	111.5	13.43502884
1	"111"	11	2013	136	241	188.5	74.24621202
1	"111"	11	2014	237	296	266.5	41.71930009
1	"111"	11	2015	220	282	251	43.84062043
1	"111"	11	2016	222	309	265.5	61.51828996
1	"113"	13	2000	0	0	0	0
1	"113"	13	2001	0	0	0	0
1	"113"	13	2002	0	0	0	0
1	"113"	13	2003	0	0	0	0
1	"113"	13	2004	47	64	55.5	12.02081528
1	"113"	13	2005	50	75	62.5	17.67766953
1	"113"	13	2006	119	166	142.5	33.23401872
1	"113"	13	2007	95	122	108.5	19.09188309
1	"113"	13	2008	166	180	173	9.899494937
1	"113"	13	2009	129	204	166.5	53.03300859
1	"113"	13	2010	213	243	228	21.21320344
1	"113"	13	2011	66	85	75.5	13.43502884
1	"113"	13	2012	160	153	156.5	4.949747468
1	"113"	13	2013	204	239	221.5	24.74873734
1	"113"	13	2014	353	363	358	7.071067812
1	"113"	13	2015	473	645	559	121.6223664
1	"113"	13	2016	434	427	430.5	4.949747468
1	"115"	15	2000	0	0	0	0
1	"115"	15	2001	0	0	0	0
1	"115"	15	2002	0	0	0	0
1	"115"	15	2003	52	50	51	1.414213562
1	"115"	15	2004	70	58	64	8.485281374
1	"115"	15	2005	137	108	122.5	20.50609665
1	"115"	15	2006	97	69	83	19.79898987
1	"115"	15	2007	133	90	111.5	30.40559159
1	"115"	15	2008	56	37	46.5	13.43502884
1	"115"	15	2009	64	27	45.5	26.1629509
1	"115"	15	2010	83	34	58.5	34.64823228
1	"115"	15	2011	69	31	50	26.87005769
1	"115"	15	2012	164	59	111.5	74.24621202
1	"115"	15	2013	196	90	143	74.95331881
1	"115"	15	2014	262	106	184	110.3086579
1	"115"	15	2015	248	158	203	63.63961031
1	"115"	15	2016	257	180	218.5	54.44722215
1	"116"	16	2000	0	0	0	0
1	"116"	16	2001	0	0	0	0
1	"116"	16	2002	0	0	0	0
1	"116"	16	2003	30	26	28	2.828427125
1	"116"	16	2004	37	34	35.5	2.121320344
1	"116"	16	2005	45	43	44	1.414213562
1	"116"	16	2006	67	71	69	2.828427125
1	"116"	16	2007	68	80	74	8.485281374
1	"116"	16	2008	106	97	101.5	6.363961031
1	"116"	16	2009	86	102	94	11.3137085
1	"116"	16	2010	124	97	110.5	19.09188309
1	"116"	16	2011	109	97	103	8.485281374
1	"116"	16	2012	112	116	114	2.828427125
1	"116"	16	2013	149	145	147	2.828427125
1	"116"	16	2014	132	142	137	7.071067812
1	"116"	16	2015	148	137	142.5	7.778174593
1	"116"	16	2016	217	191	204	18.38477631
1	"117"	17	2000	0	0	0	0
1	"117"	17	2001	0	0	0	0
1	"117"	17	2002	55	55	55	0
1	"117"	17	2003	50	51	50.5	0.707106781
1	"117"	17	2004	43	49	46	4.242640687
1	"117"	17	2005	43	38	40.5	3.535533906
1	"117"	17	2006	67	66	66.5	0.707106781
1	"117"	17	2007	62	55	58.5	4.949747468
1	"117"	17	2008	97	86	91.5	7.778174593
1	"117"	17	2009	106	87	96.5	13.43502884
1	"117"	17	2010	42	46	44	2.828427125
1	"117"	17	2011	241	147	194	66.46803743
1	"117"	17	2012	288	242	265	32.52691193
1	"117"	17	2013	303	318	310.5	10.60660172
1	"117"	17	2014	444	358	401	60.81118318
1	"117"	17	2015	375	398	386.5	16.26345597
1	"117"	17	2016	436	423	429.5	9.192388155
1	"118"	18	2000	0	0	0	0
1	"118"	18	2001	0	0	0	0
1	"118"	18	2002	33	33	33	0
1	"118"	18	2003	23	29	26	4.242640687
1	"118"	18	2004	45	29	37	11.3137085
1	"118"	18	2005	41	36	38.5	3.535533906
1	"118"	18	2006	78	54	66	16.97056275
1	"118"	18	2007	88	76	82	8.485281374
1	"118"	18	2008	114	100	107	9.899494937
1	"118"	18	2009	126	78	102	33.9411255
1	"118"	18	2010	36	23	29.5	9.192388155
1	"118"	18	2011	61	84	72.5	16.26345597
1	"118"	18	2012	150	132	141	12.72792206
1	"118"	18	2013	206	222	214	11.3137085
1	"118"	18	2014	306	341	323.5	24.74873734
1	"118"	18	2015	338	338	338	0
1	"118"	18	2016	316	371	343.5	38.89087297
1	"120"	20	2000	0	0	0	0
1	"120"	20	2001	0	0	0	0
1	"120"	20	2002	0	0	0	0
1	"120"	20	2003	33	32	32.5	0.707106781
1	"120"	20	2004	34	35	34.5	0.707106781
1	"120"	20	2005	72	41	56.5	21.92031022
1	"120"	20	2006	66	67	66.5	0.707106781
1	"120"	20	2007	38	37	37.5	0.707106781
1	"120"	20	2008	61	53	57	5.656854249
1	"120"	20	2009	51	37	44	9.899494937
1	"120"	20	2010	75	74	74.5	0.707106781
1	"120"	20	2011	97	110	103.5	9.192388155
1	"120"	20	2012	69	94	81.5	17.67766953
1	"120"	20	2013	124	157	140.5	23.33452378
1	"120"	20	2014	269	293	281	16.97056275
1	"120"	20	2015	349	348	348.5	0.707106781
1	"120"	20	2016	361	365	363	2.828427125
