"ID_plot"	"ID_pine"	"N_pine"	"X_UTM"	"Y_UTM"	"Latitude"	"Longitude"	"Altitude"	"DBH"	"DB"	"Height"	"Met1"	"Met2"	"Met3"	"Met4"	"Met5"	"Ext_light"	"Ind_light"	"Light_ratio"
1	"101"	1	376705	4641315	41.91414401	1.513240971	840.932129	15.55	41.44	1.55	15	10	13	11	15	266.2	88.57	33.27
1	"102"	2	376701	4641312	41.91413596	1.513210963	839.623474	18.5	51	1.72	22	20	21	11	16	346.2	231.4	66.84
1	"103"	3	376700	4641297	41.91400504	1.513201995	843.155273	35.8	85.94366927	2.7	32	33	42	20	22	NA	NA	NA
1	"104"	4	376702	4641295	41.91398802	1.51321901	843.596375	13.5	44.9	1.6	14	24	21	18	20	133.7	78.9	59.01
1	"105"	5	376690	4641295	41.91398702	1.513172993	842.424316	45	87	2.47	28	30	22	16	16	123.7	137.76	111.37
1	"106"	6	376703	4641290	41.91394301	1.513246	846.873962	30	61.3	2.2	26	36	25	13	20	356.2	249.1	69.93
1	"107"	7	376715	4641290	41.91394502	1.513384972	852.161255	20	62.5	2	27	31	28	17	15	141.2	146.06	103.44
1	"108"	8	376719	4641291	41.913956	1.513436018	853.441833	29	65	2.48	30	37	30	12	17	251.2	139.36	55.48
1	"109"	9	376695	4641267	41.91373296	1.513152961	854.081238	29	63	2.3	38	34	31	14	16	116.2	140.89	121.25
1	"110"	10	376671	4641235	41.913437	1.512864036	859.287598	27	49	2.09	33	25	31	12	13	88.7	72.93	82.22
1	"111"	11	376704	4641255	41.91362198	1.513265027	845.740417	18	46	1.95	17	43	36	12	16	333.7	158.15	47.39
1	"112"	12	376704	4641275	41.91380999	1.513259998	844.437744	28.3	64	2.3	43	31	28	14	12	NA	NA	NA
1	"113"	13	376721	4641301	41.91404401	1.513456972	843.454834	20.5	73	1.96	26	30	28	17	18	251.2	245.1	97.57
1	"114"	14	376724	4641307	41.91409799	1.513491003	843.663574	45	85	2.6	30	42	33	25	27	NA	NA	NA
1	"115"	15	376744	4641298	41.91402297	1.513728965	853.564453	10	48	1.7	21	28	37	10	13	271.2	168.67	62.19
1	"116"	16	376745	4641294	41.91398601	1.513750004	856.431274	19	48	1.85	14	14	17	12	9	328.7	99.84	30.37
1	"117"	17	376719	4641320	41.914215	1.513429983	845.090393	25.5	75	2.09	32	35	29	17	20	253.7	267.7	105.52
1	"118"	18	376726	4641325	41.91425901	1.513507012	846.091858	22	60	1.98	33	38	39	15	13	271.2	291.6	107.52
1	"119"	19	376728	4641346	41.91445003	1.513537019	842.339783	36	78	2.42	30	29	20	11	13	NA	NA	NA
1	"120"	20	376725	4641360	41.91457199	1.513491003	839.501892	13	53	1.58	28	28	25	9	9	428.7	480.2	112.01
1	"121"	21	376751	4641306	41.91409699	1.513822004	855.591003	24	62	1.73	30	34	35	10	20	383.7	350.3	91.3
1	"122"	22	376736	4641285	41.91390303	1.513641039	857.747131	20	62	1.83	30	35	31	9	14	186.2	144.72	77.72
1	"123"	23	376688	4641270	41.91375702	1.513067968	856.370483	NA	28	0.98	39	17	27	2	3	88.7	89.16	100.52
1	"124"	24	376701	4641274	41.91379298	1.513224961	844.202576	NA	43	1.27	32	20	17	6	9	311.2	264	84.83
1	"125"	25	376709	4641282	41.91387101	1.513321018	845.299133	NA	32	1.19	30	26	20	10	12	283.7	290.2	102.29
1	"126"	26	376715	4641294	41.91398199	1.513382038	835.517273	NA	13	0.8	20	14	15	5	7	93.7	80.05	85.43
1	"127"	27	376690	4641265	41.91371603	1.513088001	843.412537	10	34	1.56	40	35	13	10	1	76.2	54.43	71.43
1	"128"	28	376690	4641269	41.91374696	1.513090013	842.495667	NA	29	1.01	33	22	16	6	3	93.7	63.84	68.13
1	"129"	29	376694	4641282	41.91386598	1.513134018	842.862915	NA	32	1.18	39	19	12	12	8	173.7	118	67.93
1	"130"	30	376696	4641288	41.91392499	1.513156984	844.443054	NA	27	1	20	11	9	3	14	211.2	236	111.74
1	"131"	31	376746	4641328	41.91429304	1.513756961	850.46228	NA	33	1.27	35	21	15	10	12	383.7	307.5	80.14
2	"201"	1	380449	4639383	41.89734299	1.558788987	781.101379	12.3	46.7	1.6	27	23	16	13	18	316.2	243.3	76.94
2	"202"	2	380432	4639421	41.89768497	1.558567034	804.084229	22	57.5	2.06	32	27	33	13	26	308.7	310.7	100.65
2	"203"	3	380431	4639420	41.89768103	1.558558987	807.706116	NA	20	0.9	15	9	17	10	47	301.2	157.54	52.3
2	"204"	4	380420	4639416	41.89763904	1.558430996	808.547119	11	36.5	1.41	23	22	20	12	9	281.2	182.85	65.02
2	"205"	5	380420	4639414	41.89762504	1.558427978	810.468079	16	45	1.7	30	33	24	8	14	276.2	208.1	75.34
2	"206"	6	380424	4639413	41.89761699	1.558481036	811.276672	13	46	1.92	39	34	33	16	13	283.7	292.9	103.24
2	"207"	7	380418	4639404	41.89753099	1.558407024	811.115479	13	53	1.86	31	32	27	14	11	258.7	155.8	60.22
2	"208"	8	380440	4639399	41.89749202	1.558673987	810.854187	7	30	1.37	26	27	22	13	5	211.2	87.73	41.54
2	"209"	9	380425	4639401	41.897504	1.558496961	812.658569	NA	31	1.02	24	18	17	13	9	248.7	182.36	73.33
2	"210"	10	380420	4639391	41.89741499	1.558428984	813.395813	NA	19	1.22	22	18	13	6	8	241.2	207.9	86.19
2	"211"	11	380396	4639391	41.89740703	1.558149029	815.940369	NA	59	1.3	20	10	10	9	17	198.7	196.76	99.02
2	"212"	12	380434	4639392	41.89742404	1.558599975	818.445251	11.76	33.5	1.78	34	26	29	12	13	228.7	148.99	65.15
2	"213"	13	380400	4639375	41.89726998	1.558200996	822.099609	21	50	2.08	38	35	34	15	18	211.2	208.9	98.91
2	"214"	14	380377	4639374	41.89725397	1.557914	826.713074	NA	20	0.85	18	8	13	7	NA	188.7	112.1	59.41
2	"215"	15	380403	4639398	41.89747903	1.558229998	826.187256	9.2	45.4	1.53	34	23	18	7	7	183.7	164.4	89.49
2	"216"	16	380397	4639423	41.89770198	1.558146011	829.458435	14	56	1.62	30	25	24	13	12	188.7	148.69	78.8
2	"217"	17	380399	4639423	41.89770299	1.558170989	825.418335	7.4	47	1.39	30	8	23	12	9	233.7	239.2	102.35
2	"218"	18	380413	4639364	41.89717099	1.558361007	799.057068	7.5	49	1.35	30	20	13	7	7	176.2	110.27	62.58
2	"219"	19	380409	4639390	41.89739998	1.558307027	801.81189	NA	25	1	20	15	16	5	10	213.7	83.31	38.98
2	"220"	20	380412	4639422	41.89769402	1.558333011	804.023499	8	23.5	1.42	30	24	20	8	12	271.2	184.54	68.05
3	"301"	1	375498	4642278	41.92264804	1.498512039	856.140625	NA	26.5	1.29	30	31	26	9	9	243.7	259	106.28
3	"302"	2	375506	4642289	41.92274996	1.498607006	855.963562	NA	10	0.83	23	13	17	NA	NA	233.7	90.59	38.76
3	"303"	3	375505	4642290	41.922757	1.49859502	858.589722	NA	35	1.32	28	21	27	10	17	241.2	80.02	33.18
3	"304"	4	375499	4642316	41.922986	1.498512961	857.974365	NA	39	1.1	26	7	28	10	19	253.7	198.99	78.44
3	"305"	5	375497	4642317	41.92299999	1.49848396	857.522705	NA	17	1.27	20	24	28	10	9	256.2	66.33	25.89
