Note: [none]
Total # of Iterations:	25000	
Sample size:	199	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
114.6362	9	-210.3199	-211.2723	0.9970501	0.3355131	
Model:	
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
PotGrowth	0.6286562	0.6012234	0.6509368	N/A	0.1	1	0.9	
sizeX0	9.922804	8.852068	10	N/A	1	10	9	
sizeXb	1.977735	1.839739	2	N/A	0.5	2	1	
alpha	1.036471	0.950636	1.115013	N/A	0.5	3	2.5	
beta	0.5048932	0.5	0.8345996	N/A	0.5	3	2.5	
Cprim	0.002007901	0.001385452	0.002768532	N/A	1e-10	1000	7.579367	
D	2.177093	2.112781	2.242406	N/A	0.05	3	2.95	
gamma	-0.2828936	-0.6861817	0.1530199	N/A	-2	4	0.1564982	
sd	0.1388907	0.1236227	0.150724	N/A	1e-04	10	0.02290568	

Non-varying parameters:
Label	Value
mean	predicted	
x	DG	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[not calculated]

Source data
ID_plot	ID_pine	N_pine	X_UTM	Y_UTM	Age	DG	D	prec	temp	predicted	
1	101	1	376705	4641315	14	0.4543333	2.781	632.0535	13.08275	0.3779395	
1	102	2	376701	4641312	15	0.571	3.387	632.0429	13.08269	0.5177195	
1	104	4	376702	4641295	16	0.5526667	2.832	631.9882	13.08264	0.4915956	
1	105	5	376690	4641295	16	0.7753333	6.374	631.985	13.08249	0.6049512	
1	106	6	376703	4641290	16	0.6113333	4.296	631.9722	13.08264	0.5109168	
1	107	7	376715	4641290	14	0.7573333	3.978	632.1561	13.07705	0.552104	
1	108	8	376719	4641291	15	0.5713333	4.786	632.1605	13.0771	0.5043721	
1	109	9	376695	4641267	13	0.9126667	3.562	632.0743	13.07673	0.517564	
1	110	10	376671	4641235	16	0.743	2.671	631.416	13.09353	0.4562316	
1	111	11	376704	4641255	15	0.522	3.034	632.0363	13.0768	0.4665909	
1	113	13	376721	4641301	13	0.8983333	4.605	632.1935	13.07716	0.5370174	
1	115	15	376744	4641298	14	0.4036667	3.589	632.0091	13.08317	0.4995729	
1	116	16	376745	4641294	14	0.3223333	3.833	631.9964	13.08317	0.4740759	
1	117	17	376719	4641320	15	0.8113333	5.066	631.8924	13.08867	0.5869242	
1	118	18	376726	4641325	15	0.67	3.99	631.9099	13.08878	0.5419767	
