Note: [none]
Total # of Iterations:	8000	
Sample size:	198	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
213.5842	4	-418.9611	-419.1683	1.001041	0.6216306	
Model:	
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
PotGrowth	0.5457714	0.5279405	0.5639405	N/A	0.1	1	0.04589798	
sizeX0	73.17113	70.24628	76.09797	N/A	0.05	100	7.447477	
sizeXb	0.05	0.05	0.051999	N/A	0.05	100	15.81963	
sd	0.08265705	0.07522592	0.09059093	N/A	1e-04	10	0.01993237	

Non-varying parameters:
Label	Value
mean	predicted	
x	RG	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[not calculated]

Source data
ID_plot	ID_pine	Altitude	eq_DBH	y_2011	y_2012	y_2013	y_2014	y_2015	y_2016	RG	predicted	
1	101	840.9321	1.67502	0.315	0.337	0.279	0.409	0.446	0.508	0.3958	0.4022322	
1	102	839.6235	2.069437	0.378	0.368	0.137	0.402	0.647	0.664	0.4436	0.4639926	
1	104	843.5964	1.817769	0.245	0.374	0.334	0.427	0.563	0.668	0.4732	0.4273396	
1	105	842.4243	3.554689	0.578	0.638	0.54	0.672	0.815	0.839	0.7008	0.545545	
1	106	846.874	2.494384	0.254	0.282	0.44	0.638	0.553	0.643	0.5112	0.5071695	
1	107	852.1613	2.543893	0.125	0.188	0.324	0.655	0.669	0.948	0.5568	0.5109032	
1	108	853.4418	2.647035	0.271	0.263	0.398	0.682	0.536	0.496	0.475	0.517926	
1	109	854.0812	2.564521	0.245	0.141	0.429	0.837	0.825	1.076	0.6616	0.512388	
1	110	859.2876	1.986923	0.278	0.351	0.14	0.654	0.861	0.714	0.544	0.4529838	
1	111	845.7404	1.863152	0.146	0.223	0.377	0.533	0.502	0.531	0.4332	0.4346423	
1	113	843.4548	2.977091	0.151	0.313	0.443	0.716	1.118	0.861	0.6902	0.5342997	
1	115	853.5645	1.945666	0.1	0.223	0.286	0.368	0.406	0.437	0.344	0.4471198	
1	116	856.4313	1.945666	0.206	0.228	0.294	0.274	0.285	0.408	0.2978	0.4471198	
